ID,K_CW,n_CW,k_Cr,K_CL,n_CL,K_CH,n_CH,k_Cp,b_Cr,b_Wr,k_WL,k_WC,k_Wr,K_WW,n_WW,K_WL,n_WL,K_WC,n_WC,k_Wp,b_Ww,b_Wr,ki_W,a_Cc,K_HW,n_HW,b_pp,k_pp,b_Hh,k_Hh,k_Ll,b_Ll,D_Ww,D_Cc,D_Ll
1,0.2,6,0.5,0.24,6,0.13,5,2.7,1,0.5,1,1,1.2,0.53,0.2,0.29,6,0.1,6,0.345,0.4,1,0.3,0.00001,0.3,4,1,1,1,1,10,1.5,0.1,6,1.2
2,0.2,6,0.5,0.24,6,0.13,5,2.7,1,0.5,1,1,1.2,0.53,0.2,0.29,6,0.1,6,0.345,0.4,1,0.3,0.00001,0.3,4,1,1,1,1,10,1.5,0.01,6,1.2
3,0.2,6,0.5,0.24,6,0.13,5,2.7,1,0.5,1,1,1.2,0.53,0.2,0.29,6,0.1,6,0.345,0.4,1,0.3,0.00001,0.3,4,1,1,1,1,10,1.5,0.001,6,1.2
4,0.2,6,0.5,0.24,6,0.13,5,2.7,1,0.5,1,1,1.2,0.53,0.2,0.29,6,0.1,6,0.345,0.4,1,0.3,0.00001,0.3,4,1,1,1,1,10,1.5,1,0.6,1.2
5,0.2,6,0.5,0.24,6,0.13,5,2.7,1,0.5,1,1,1.2,0.53,0.2,0.29,6,0.1,6,0.345,0.4,1,0.3,0.00001,0.3,4,1,1,1,1,10,1.5,1,0.06,1.2
6,0.2,6,0.5,0.24,6,0.13,5,2.7,1,0.5,1,1,1.2,0.53,0.2,0.29,6,0.1,6,0.345,0.4,1,0.3,0.00001,0.3,4,1,1,1,1,10,1.5,1,0.006,1.2
7,0.2,6,0.5,0.24,6,0.13,5,2.7,1,0.5,1,1,1.2,0.53,0.2,0.29,6,0.1,6,0.345,0.4,1,0.3,0.00001,0.3,4,1,1,1,1,10,1.5,1,6,0.12
8,0.2,6,0.5,0.24,6,0.13,5,2.7,1,0.5,1,1,1.2,0.53,0.2,0.29,6,0.1,6,0.345,0.4,1,0.3,0.00001,0.3,4,1,1,1,1,10,1.5,1,6,0.012
9,0.2,6,0.5,0.24,6,0.13,5,2.7,1,0.5,1,1,1.2,0.53,0.2,0.29,6,0.1,6,0.345,0.4,1,0.3,0.00001,0.3,4,1,1,1,1,10,1.5,1,6,0.001
10,0.2,6,0.5,0.24,6,0.13,5,2.7,1,0.5,1,1,1.2,0.53,0.2,0.29,6,0.1,6,0.345,0.4,1,0.3,0.00001,0.3,4,1,1,1,1,10,1.5,0.1,0.6,0.12
11,0.2,6,0.5,0.24,6,0.13,5,2.7,1,0.5,1,1,1.2,0.53,0.2,0.29,6,0.1,6,0.345,0.4,1,0.3,0.00001,0.3,4,1,1,1,1,10,1.5,0.01,0.06,0.012
12,0.2,6,0.5,0.24,6,0.13,5,2.7,1,0.5,1,1,1.2,0.53,0.2,0.29,6,0.1,6,0.345,0.4,1,0.3,0.00001,0.3,4,1,1,1,1,10,1.5,0.001,0.006,0.001
13,0.2,6,0.5,0.24,6,0.13,5,2.7,1,0.5,1,1,1.2,0.53,0.2,0.29,6,0.1,6,0.345,0.4,1,0.3,0.00001,0.3,4,1,1,1,1,10,1.5,0,0,0